Source,Target
EGR1,CD9
EGR1,CEBPA
EGR1,CEBPB
EGR1,FGFR3
HSPB1,ESR1
GRIP1,AR
GBX2,IL6
FGF10,ELK1
ELK1,ACTC
ELK1,PDGFB
ELK1,MUC4
EPO,MYB
MYB,CEBPA
DLX4,BRCA1
CAV1,ESR1
CEBPA,ATF1
ATF1,INHBA
ATF1,LDHA
ATF1,MUC1
ATF1,MUC2
ATF1,MUC5B
ATF1,NOS1
CEBPA,BRCA1
CEBPA,CEBPD
CEBPD,ELN
CEBPA,CREB1
CREB1,INHBA
CREB1,KCNN3
CREB1,LDHA
CREB1,LYL1
CREB1,PITX2
CREB1,PMP22
CREB1,SMAD6
CREB1,SOX9
CREB1,STMN1
CREB1,CEBPA
CREB1,CEBPB
CREB1,ELN
CREB1,G6PC
CREB1,GGT1
CREB1,MUC1
CREB1,MUC4
CREB1,MUC5B
CREB1,NOS1
CEBPA,DDIT3
DDIT3,CEBPA
CEBPA,ELK1
CEBPA,HNF4A
CEBPA,IL4
CEBPA,IL5
CEBPA,IL6
CEBPA,JUN
CEBPA,MYB
CEBPA,MYC
CEBPA,NFKB1
CEBPA,NFYA
NFYA,HBB
CEBPA,NFYB
NFYB,HBB
CEBPA,NFYC
NFYC,HBB
CEBPA,NR3C1
NR3C1,CALD1
NR3C1,MUC4
NR3C1,STAT1
CEBPA,NR5A1
CEBPA,PPARG
CEBPA,PTPN6
PTPN6,STAT1
CEBPA,RB1
RB1,FGFR1
CEBPA,SP1
CEBPA,SPI1
CEBPA,SREBF1
SREBF1,CAV1
SREBF1,ABCA3
CEBPA,SREBF2
SREBF2,ABCA1
SREBF2,PRSS8
CEBPA,SRF
SRF,CRYAB
SRF,KLF3
CEBPA,TFAP2A
TFAP2A,CRYAB
TFAP2A,FBLN1
TFAP2A,HSPB1
TFAP2A,IGF2
TFAP2A,IL8
TFAP2A,LAMB1
TFAP2A,SYT1
TFAP2A,VEGFA
TFAP2A,VEGFC
TFAP2A,CD22
TFAP2A,CEBPA
