geneName	LogFC	pvalue
F177A	-1.1472218893896073	1.0399891521440602e-23
SOAT	2.1867540575346576	7.420034651018929e-12
S2543	-0.7683924225864079	3.96664458768644e-14
MMP20	-0.9993501775256788	1.4111517356776745e-111
STXB	-0.797939867670161	7.79711768278154e-6
LBH	-0.8523473152649836	4.746954309994277e-74
SAM10	1.2216549559131196	5.057150623369504e-4
MNS1	1.0556221628848073	1.9724568053856853e-4
AGRF5	-1.209215345432013	7.0314960364530455e-19
PRVA	6.0514032170007095	3.486938500374309e-12
IGK	0.9521127077010637	3.6996406302176895e-6
KCMB4	1.6915275217431787	2.476667406648768e-4
LGMN	-0.7563353595252033	1.3747855203675799e-39
VAFNB	0.8865409757263976	3.779748428641701e-6
POPD1	1.296491437250544	3.740212230913728e-4
ZIC4	2.674881750409644	1.2102013399324232e-20
PLLP	-1.634727177933162	7.455144064368884e-6
CO7	2.325734884787499	6.63881591001022e-57
GTR11	-1.2032675856404067	8.77281276021214e-74
DPYL2	0.982878981803095	1.1658559171904431e-44
ST1C1	-1.269994690931615	1.09294558320426e-11
FREM1	0.8354750335080388	4.502338380734014e-5
HHLA2	-0.866780676476807	8.300334483227817e-46
OSGI1	-0.8379791937778468	9.037036876410663e-44
TBX3	1.210611100307229	6.434121643259006e-64
TRBM	1.2424646785251598	6.009221229816116e-23
DCBD1	-0.8092072279960267	5.700352774406916e-36
RHCG	-1.707416855769873	5.908667172271849e-8
SL9A5	0.994143672385102	4.3885624854399794e-4
RTN4R	1.8799019284344691	1.3968014734109904e-6
INHBA	1.8241195927916145	3.574694956702873e-17
LMOD3	2.7505084380779987	6.273322797193583e-4
FHL1	1.6903781980875736	6.647803279311559e-41
FOG2	4.870385469545656	1.3362473220601998e-6
BNIP3	2.270281497354278	8.480170423687647e-13
NTM1B	3.7947438257574344	2.1695112175368402e-4
TMPS4	-1.1234659979490416	1.3740887876727594e-33
ST2B1	0.8921516826064116	8.648737397379033e-5
MUC2	-1.1883924926601337	5.981738251905186e-27
MUC19	-1.9933838273909155	4.836511893738563e-9
S6A14	-1.2389287701587774	6.716238771315807e-17
FRK	-1.306225299468932	3.1840377374162794e-10
S39A4	-0.9631723338232213	3.0747516717787343e-37
ETV5	1.7219817496019196	1.4687106280971356e-25
MOT7	-0.8316318396696833	5.697723955559491e-5
EGR2B	0.7500365490538013	1.1304465126869803e-8
FA8	2.872527659379879	6.756747226055703e-5
BPI	-1.6426445453715484	2.496164236967429e-20
CLD4	-1.0793807339030528	5.197371163955546e-40
VWA2	2.0204852522755967	6.963315385686179e-51
TMM47	0.8491254328994865	1.458343715674401e-22
LRRN1	0.8783879577152504	5.20705897835026e-4
CRIM1	1.3309340568764423	5.64198581281539e-29
AT2C2	-1.3159421220477063	2.7604518755404856e-11
LRC71	0.9188781930120297	6.016371742921895e-4
SP6	1.3746848989580864	4.239357300462342e-37
LYRM7	0.977041045445005	7.526031462568319e-4
RB27A	-0.916634818732212	4.760731258649899e-21
PDE2A	-1.2326226247098298	2.6906564224295007e-17
UD11	0.7779479357173473	1.778107582550747e-4
WN10A	1.0944357728625653	2.984396394973062e-34
TGM2	1.4881108188900694	1.3296753774639925e-5
EPHA7	1.3017033643418217	3.2854065070729597e-13
EPHB2	4.869452867097987	1.1464727088498907e-14
DTNA	2.2120579684163917	1.7808390280103962e-19
