geneName,log2FoldChange,padj,RNEA_geneName,sig,centralNode,DE,TF,filteredNetwork,geneNameShort,filteredNetwork_nosep
EMX2,-1.0985243700111817,6.81090608263271e-16,EMX2,TRUE,FALSE,downregulated,FALSE,FALSE,EMX2,FALSE
ENDOU,1.0927081846573583,1.639261455397086e-64,ENDOU,TRUE,FALSE,upregulated,FALSE,FALSE,ENDOU,FALSE
ENPP2,1.477543517184958,2.2001413270870247e-15,ENPP2,TRUE,FALSE,upregulated,FALSE,FALSE,ENPP2,FALSE
EPHB2,4.869452867097987,1.1464727088498907e-14,EPHB2,TRUE,FALSE,upregulated,FALSE,TRUE,EPHB2,TRUE
EPHB3,0.9093884917024908,2.9454115228299545e-13,EPHB3,TRUE,FALSE,upregulated,FALSE,TRUE,EPHB3,TRUE
EPO,0.8877177015230431,1.719798072864711e-4,EPO,TRUE,FALSE,upregulated,FALSE,TRUE,EPO,FALSE
ERG,-0.01455047428833592,0.14151123332872137,ERG,FALSE,FALSE,RNEA_addition,TRUE,FALSE,ERG,FALSE
ERN1,-0.8558049235030382,3.4714158100434774e-25,ERN1,TRUE,FALSE,downregulated,FALSE,FALSE,ERN1,FALSE
ETV5,1.7219817496019196,1.4687106280971356e-25,ETV5,TRUE,FALSE,upregulated,TRUE,FALSE,ETV5,FALSE
EVPL,-1.2492293646592958,5.044248779329773e-53,EVPL,TRUE,FALSE,downregulated,FALSE,FALSE,EVPL,FALSE
FBLN1,1.490515685067659,2.503326602173948e-20,FBLN1,TRUE,FALSE,upregulated,FALSE,FALSE,FBLN1,FALSE
FBN2,-1.7829342426112669,1.8296000655593977e-14,FBN2,TRUE,FALSE,downregulated,FALSE,TRUE,FBN2,FALSE
FBN2.1,0.8261644261344531,3.756286198647009e-12,FBN2,TRUE,FALSE,upregulated,FALSE,TRUE,FBN2,FALSE
FBN2.4,0.8704435837430538,2.6906564224295007e-17,FBN2,TRUE,FALSE,upregulated,FALSE,TRUE,FBN2,FALSE
FGF10,1.2576620647735406,2.3426022596818708e-8,FGF10,TRUE,FALSE,upregulated,FALSE,TRUE,FGF10,FALSE
FGF13,-0.8633769890515395,2.445841981989315e-7,FGF13,TRUE,FALSE,downregulated,FALSE,FALSE,FGF13,FALSE
FGF20,3.5655319812198125,2.6947459579468486e-7,FGF20,TRUE,FALSE,upregulated,FALSE,FALSE,FGF20,FALSE
FGF3,2.341013655294744,7.162839421304698e-42,FGF3,TRUE,FALSE,upregulated,FALSE,TRUE,FGF3,TRUE
FGF9,1.6054222120316648,4.327212085534234e-7,FGF9,TRUE,FALSE,upregulated,FALSE,FALSE,FGF9,FALSE
FGFR1,0.972287035440861,5.418307979758312e-55,FGFR1,TRUE,FALSE,upregulated,FALSE,TRUE,FGFR1,FALSE
FGFR3,-1.1603024351834683,3.6755608201635457e-10,FGFR3,TRUE,FALSE,downregulated,FALSE,FALSE,FGFR3,FALSE
FHL2,1.393835058737159,1.6686381055796757e-6,FHL2,TRUE,FALSE,upregulated,FALSE,TRUE,FHL2,FALSE
FOS,0.211889074661885,0.11398370443793385,FOS,FALSE,FALSE,RNEA_addition,TRUE,FALSE,FOS,FALSE
FOXA2,1.6432701057256616,6.736157436890577e-71,FOXA2,TRUE,FALSE,upregulated,TRUE,TRUE,FOXA2,FALSE
FOXC2,1.565300373820826,6.8516796427834424e-12,FOXC2,TRUE,FALSE,upregulated,TRUE,FALSE,FOXC2,FALSE
FOXD1,1.9343438314538601,4.848355457039596e-10,FOXD1,TRUE,FALSE,upregulated,TRUE,FALSE,FOXD1,FALSE
FOXF2,1.8651345648384117,9.717098608315458e-16,FOXF2,TRUE,FALSE,upregulated,TRUE,FALSE,FOXF2,FALSE
FOXL1,2.8215785371522375,1.7078656150849952e-6,FOXL1,TRUE,FALSE,upregulated,TRUE,TRUE,FOXL1,TRUE
FOXL1.1,2.1226754766983635,7.232959142974897e-7,FOXL1,TRUE,FALSE,upregulated,TRUE,TRUE,FOXL1,TRUE
FOXL2,1.390667105379099,1.7624542304085647e-4,FOXL2,TRUE,FALSE,upregulated,TRUE,FALSE,FOXL2,FALSE
FOXL2.1,1.0291279038298835,4.533141197714062e-39,FOXL2,TRUE,FALSE,upregulated,TRUE,FALSE,FOXL2,FALSE
FOXQ1,-1.0628055164968677,2.2447160087977387e-31,FOXQ1,TRUE,FALSE,downregulated,TRUE,TRUE,FOXQ1,FALSE
FRK,-1.306225299468932,3.1840377374162794e-10,FRK,TRUE,FALSE,downregulated,FALSE,FALSE,FRK,FALSE
FSCN1,1.0222516800038641,5.4742202411143876e-39,FSCN1,TRUE,FALSE,upregulated,FALSE,FALSE,FSCN1,FALSE
FYN.1,0.9159298447350631,1.271474553481941e-7,FYN,TRUE,FALSE,upregulated,FALSE,FALSE,FYN,FALSE
G6PC,-0.8452994662787008,7.40936315990842e-4,G6PC,TRUE,FALSE,downregulated,FALSE,TRUE,G6PC,FALSE
GBP1.3,-0.9382758624404377,5.904602839712983e-17,GBP1,TRUE,FALSE,downregulated,FALSE,FALSE,GBP1,FALSE
GBX2,2.896583241899628,3.554944927259065e-22,GBX2,TRUE,FALSE,upregulated,FALSE,FALSE,GBX2,FALSE
GGT1,-1.2123003871796314,8.605673460601377e-36,GGT1,TRUE,FALSE,downregulated,FALSE,TRUE,GGT1,FALSE
GLI1,0.6062237729354031,0.2400454735989331,GLI1,FALSE,FALSE,RNEA_addition,FALSE,TRUE,GLI1,TRUE
GLI2,1.5008766760581411,2.3359110537888626e-46,GLI2,TRUE,FALSE,upregulated,FALSE,TRUE,GLI2,TRUE
GLI3,0.2527624596621692,6.060260010074801e-23,GLI3,FALSE,FALSE,RNEA_addition,FALSE,TRUE,GLI3,TRUE
GPR39,-0.8737984699469071,2.8064848068149246e-9,GPR39,TRUE,FALSE,downregulated,FALSE,FALSE,GPR39,FALSE
GRIP1.1,1.2137823029898782,1.857889932877903e-5,GRIP1,TRUE,FALSE,upregulated,FALSE,FALSE,GRIP1,FALSE
HBB,0.7547335479943964,7.807772568871105e-7,HBB,TRUE,FALSE,upregulated,FALSE,TRUE,HBB,FALSE
HBEGF,1.0038533500499962,7.5370340758231e-18,HBEGF,TRUE,FALSE,upregulated,FALSE,FALSE,HBEGF,FALSE
HBEGF.1,-1.1061006540853646,5.740486380599548e-20,HBEGF,TRUE,FALSE,downregulated,FALSE,FALSE,HBEGF,FALSE
