"GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term","FDR"
"GO:0010594",0.000107217335232772,3.04349761079359,6.65526657997399,18,122,"regulation of endothelial cell migration",0.000248733414985853
"GO:0035904",0.00011033772779167,4.5861801242236,2.89122236671001,11,53,"aorta development",0.000255329264563135
"GO:0003272",0.000116107300319555,8.14759615384615,1.2001300390117,7,22,"endocardial cushion formation",0.000264711331742724
"GO:1903055",0.000116107300319555,8.14759615384615,1.2001300390117,7,22,"positive regulation of extracellular matrix organization",0.000264711331742724
"GO:0061036",0.000116107300319555,8.14759615384615,1.2001300390117,7,22,"positive regulation of cartilage development",0.000264711331742724
"GO:0009954",0.000116107300319555,8.14759615384615,1.2001300390117,7,22,"proximal/distal pattern formation",0.000264711331742724
"GO:0003422",0.000116107300319555,8.14759615384615,1.2001300390117,7,22,"growth plate cartilage morphogenesis",0.000264711331742724
"GO:0001569",0.000116691423113514,6.65635207151453,1.58198959687906,8,29,"branching involved in blood vessel morphogenesis",0.000264711331742724
"GO:0060037",0.000116691423113514,6.65635207151453,1.58198959687906,8,29,"pharyngeal system development",0.000264711331742724
"GO:0060317",0.000116691423113514,6.65635207151453,1.58198959687906,8,29,"cardiac epithelial to mesenchymal transition",0.000264711331742724
"GO:1903010",0.00012073406982967,34.8239520958084,0.327308192457737,4,6,"regulation of bone development",0.00026711447496571
"GO:0061307",0.00012073406982967,34.8239520958084,0.327308192457737,4,6,"cardiac neural crest cell differentiation involved in heart development",0.00026711447496571
"GO:0061308",0.00012073406982967,34.8239520958084,0.327308192457737,4,6,"cardiac neural crest cell development involved in heart development",0.00026711447496571
"GO:0071895",0.00012073406982967,34.8239520958084,0.327308192457737,4,6,"odontoblast differentiation",0.00026711447496571
"GO:0044851",0.00012073406982967,34.8239520958084,0.327308192457737,4,6,"hair cycle phase",0.00026711447496571
"GO:0044848",0.00012073406982967,34.8239520958084,0.327308192457737,4,6,"biological phase",0.00026711447496571
"GO:0048819",0.00012073406982967,34.8239520958084,0.327308192457737,4,6,"regulation of hair follicle maturation",0.00026711447496571
"GO:0010936",0.00012073406982967,34.8239520958084,0.327308192457737,4,6,"negative regulation of macrophage cytokine production",0.00026711447496571
"GO:1905331",0.00012073406982967,34.8239520958084,0.327308192457737,4,6,"negative regulation of morphogenesis of an epithelium",0.00026711447496571
"GO:0060272",0.00012073406982967,34.8239520958084,0.327308192457737,4,6,"embryonic skeletal joint morphogenesis",0.00026711447496571
"GO:0030900",0.000120941081499133,2.16406120760959,16.5290637191157,33,303,"forebrain development",0.00026711447496571
"GO:0010463",0.000123306895208252,4.99948302602102,2.45481144343303,10,45,"mesenchymal cell proliferation",0.00027168815905933
"GO:0014070",0.000126090981454238,1.77040364728122,34.4764629388817,57,632,"response to organic cyclic compound",0.000277029365850953
"GO:0050920",0.000126332609834311,2.71919495181936,8.56456436931079,21,157,"regulation of chemotaxis",0.000277029365850953
"GO:0010720",0.00012737304858106,2.05682502208429,19.4202860858257,37,356,"positive regulation of cell development",0.000278647453071629
"GO:0060563",0.00012924295620053,10.4665066026411,0.872821846553966,6,16,"neuroepithelial cell differentiation",0.000281892425362477
"GO:0010811",0.000129468508065502,3.11188412408759,6.16430429128739,17,113,"positive regulation of cell-substrate adhesion",0.000281892425362477
"GO:0009798",0.000130414503219396,4.12262607582332,3.43673602080624,12,63,"axis specification",0.000283282446851565
"GO:0030512",0.000131824802834675,4.47921581844737,2.94577373211964,11,54,"negative regulation of transforming growth factor beta receptor signaling pathway",0.000285672102142908
"GO:0007265",0.000134867793244117,1.95326059109094,23.1297789336801,42,424,"Ras protein signal transduction",0.000291580369901014
"GO:0048732",0.000137072727841748,2.14784794190629,16.638166449935,33,305,"gland development",0.000295653354431498
"GO:0007264",0.000138422872217186,1.82504892667115,29.948699609883,51,549,"small GTPase mediated signal transduction",0.000297867909607544
"GO:0030902",0.000147206092267685,2.95755119696745,6.81892067620286,18,125,"hindbrain development",0.000316029862420835
"GO:0034405",0.000151579160236096,6.35335302483317,1.63654096228869,8,30,"response to fluid shear stress",0.00032466141064522
"GO:0008652",0.000156770615586875,4.37711352657005,3.00032509752926,11,55,"amino acid biosynthetic process",0.000334226242952574
"GO:0001892",0.000156770615586875,4.37711352657005,3.00032509752926,11,55,"embryonic placenta development",0.000334226242952574
"GO:0007435",0.000159517895689289,5.42617366015787,2.07295188556567,9,38,"salivary gland morphogenesis",0.000338516087395935
"GO:0061180",0.000159517895689289,5.42617366015787,2.07295188556567,9,38,"mammary gland epithelium development",0.000338516087395935
"GO:0044087",0.000160205612155286,1.68836234215787,41.1317295188557,65,754,"regulation of cellular component biogenesis",0.000339193951252916
"GO:0046946",0.000161788313719201,Inf,0.163654096228869,3,3,"hydroxylysine metabolic process",0.000340198714464348
"GO:0046947",0.000161788313719201,Inf,0.163654096228869,3,3,"hydroxylysine biosynthetic process",0.000340198714464348
"GO:0042482",0.000161788313719201,Inf,0.163654096228869,3,3,"positive regulation of odontogenesis",0.000340198714464348
"GO:0010977",0.000163173482900284,2.9299634591961,6.87347204161248,18,126,"negative regulation of neuron projection development",0.000342329789865972
"GO:0051963",0.000166296481238782,3.50812121212121,4.58231469440832,14,84,"regulation of synapse assembly",0.000348088770956633
"GO:0001710",0.000167354723094431,14.523381294964,0.600065019505852,5,11,"mesodermal cell fate commitment",0.000348718778212604
"GO:0003344",0.000167354723094431,14.523381294964,0.600065019505852,5,11,"pericardium morphogenesis",0.000348718778212604
"GO:0001841",0.000189274220098119,3.45847204438754,4.63686605981795,14,85,"neural tube formation",0.000393501807568466
"GO:0061311",0.000190555707030983,9.51435119502346,0.927373211963589,6,17,"cell surface receptor signaling pathway involved in heart development",0.000393501807568466
"GO:0010934",0.000190555707030983,9.51435119502346,0.927373211963589,6,17,"macrophage cytokine production",0.000393501807568466
"GO:0060039",0.000190555707030983,9.51435119502346,0.927373211963589,6,17,"pericardium development",0.000393501807568466
"GO:0030516",0.00019460285142882,3.1215876873228,5.78244473342003,16,106,"regulation of axon extension",0.000400960237507704
