GOBPID,Pvalue,OddsRatio,ExpCount,Count,Size,Term,FDR
GO:0009653,0.000607318288594714,1.66499691985002,40.7157347204161,61,2372,anatomical structure morphogenesis,0.0025598572304073
GO:0071902,0.000614095325509979,4.59987745098039,1.88816644993498,8,110,positive regulation of protein serine/threonine kinase activity,0.0025598572304073
GO:0002274,0.000615814711088549,2.94575886524823,5.08088426527958,14,296,myeloid leukocyte activation,0.0025598572304073
GO:0040011,0.000629508385313805,2.05577649632134,15.1911573472042,29,885,locomotion,0.00256645726320244
GO:0071675,0.00066429720201823,6.25415282392027,1.06423927178153,6,62,regulation of mononuclear cell migration,0.00265718880807292
GO:0045055,0.000742021719741301,2.66720881901148,6.40260078023407,16,373,regulated exocytosis,0.00289874920180636
GO:0006887,0.000752033991034669,2.43264432111174,8.34226267880364,19,486,exocytosis,0.00289874920180636
GO:0032368,0.000787392787673393,6.03769045709703,1.09856957087126,6,64,regulation of lipid transport,0.00297675806318713
GO:2000403,0.000807944699435631,11.0586080586081,0.429128738621586,4,25,positive regulation of lymphocyte migration,0.00297675806318713
GO:0097529,0.000814396073890818,3.94609306409131,2.45461638491547,9,143,myeloid leukocyte migration,0.00297675806318713
GO:0006575,0.000843261275728379,4.99373635759704,1.52769830949285,7,89,cellular modified amino acid metabolic process,0.00303002356702401
GO:0071593,0.000870633670047612,115.381679389313,0.0514954486345904,2,3,lymphocyte aggregation,0.00307623896750156
GO:0007189,0.000962298188366461,4.87418936446174,1.56202860858257,7,91,adenylate cyclase-activating G protein-coupled receptor signaling pathway,0.00324894683774906
GO:0048856,0.000977716332047143,1.4964314964315,85.7227568270481,110,4994,anatomical structure development,0.00324894683774906
GO:0072109,0.00098081413969783,19.29374201788,0.205981794538362,3,12,glomerular mesangium development,0.00324894683774906
GO:0015732,0.00098081413969783,19.29374201788,0.205981794538362,3,12,prostaglandin transport,0.00324894683774906
GO:0051649,0.00101794343132776,1.70425334881112,31.4465539661899,49,1832,establishment of localization in cell,0.00328972807632225
GO:0045860,0.00102770967204778,2.9137389834601,4.75474642392718,13,277,positive regulation of protein kinase activity,0.00328972807632225
GO:0061572,0.00103967821279996,3.80287769784173,2.54044213263979,9,148,actin filament bundle organization,0.00328972807632225
GO:0050790,0.0011260003290806,1.81131971438811,22.6923276983095,38,1322,regulation of catalytic activity,0.00351047161419246
GO:0016192,0.00117137351164911,1.76918277245383,25.1297789336801,41,1464,vesicle-mediated transport,0.00353488589444247
GO:0031401,0.00119529398604644,2.14463544754001,11.4491547464239,23,667,positive regulation of protein modification process,0.00353488589444247
GO:0002444,0.00120052728490499,3.19404583422574,3.67334200260078,11,214,myeloid leukocyte mediated immunity,0.00353488589444247
GO:0002275,0.00120052728490499,3.19404583422574,3.67334200260078,11,214,myeloid cell activation involved in immune response,0.00353488589444247
GO:0045453,0.00122144548358839,6.92866335723479,0.806762028608583,5,47,bone resorption,0.00354721154137998
GO:0042325,0.0012457336029813,2.00947416067053,14.3843953185956,27,838,regulation of phosphorylation,0.00356885843016265
GO:0007264,0.00130153243281225,2.2602187858316,9.42366710013004,20,549,small GTPase mediated signal transduction,0.00367899834341597
GO:0042058,0.00136138131730982,5.38497316636851,1.21872561768531,6,71,regulation of epidermal growth factor receptor signaling pathway,0.0037975373588116
GO:0007165,0.00158469806936302,1.48664011709044,73.6899869960988,96,4293,signal transduction,0.00434478122858858
GO:0006468,0.00160693782424967,1.84556695606419,19.2078023407022,33,1119,protein phosphorylation,0.00434478122858858
GO:0051716,0.0016319634172433,1.46047736423902,93.532899869961,117,5449,cellular response to stimulus,0.00434478122858858
GO:1903225,0.00172151709057283,57.6870229007634,0.0686605981794538,2,4,negative regulation of endodermal cell differentiation,0.00434478122858858
GO:0051913,0.00172151709057283,57.6870229007634,0.0686605981794538,2,4,regulation of synaptic plasticity by chemical substance,0.00434478122858858
GO:0051914,0.00172151709057283,57.6870229007634,0.0686605981794538,2,4,positive regulation of synaptic plasticity by chemical substance,0.00434478122858858
GO:0051915,0.00172151709057283,57.6870229007634,0.0686605981794538,2,4,induction of synaptic plasticity by chemical substance,0.00434478122858858
GO:2000562,0.00172151709057283,57.6870229007634,0.0686605981794538,2,4,negative regulation of CD4-positive, alpha-beta T cell proliferation,0.00434478122858858
GO:1901184,0.00180822297171677,5.07145264577014,1.28738621586476,6,75,regulation of ERBB signaling pathway,0.00450992082357593
GO:0065008,0.00187577159963638,1.61429259233785,36.578933680104,54,2131,regulation of biological quality,0.00462399510608038
GO:2001267,0.00195263432901857,14.4674329501916,0.257477243172952,3,15,regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway,0.00475814342243606
GO:0007010,0.00216571209699184,1.76379354182558,21.9370611183355,36,1278,cytoskeleton organization,0.00521739732457125
GO:0009611,0.00223295467386348,2.37965882448056,7.12353706111834,16,415,response to wounding,0.00524026636054881
GO:0048731,0.00233541124118552,1.50474918077462,56.2501950585176,76,3277,system development,0.00524026636054881
GO:0090199,0.0023471228789118,8.00371352785146,0.566449934980494,4,33,regulation of release of cytochrome c from mitochondria,0.00524026636054881
GO:0047497,0.00237295080477682,13.3536693191866,0.274642392717815,3,16,mitochondrion transport along microtubule,0.00524026636054881
GO:0051654,0.00237295080477682,13.3536693191866,0.274642392717815,3,16,establishment of mitochondrion localization,0.00524026636054881
GO:0072111,0.00237295080477682,13.3536693191866,0.274642392717815,3,16,cell proliferation involved in kidney development,0.00524026636054881
GO:0034643,0.00237295080477682,13.3536693191866,0.274642392717815,3,16,establishment of mitochondrion localization, microtubule-mediated,0.00524026636054881
GO:0002693,0.00237295080477682,13.3536693191866,0.274642392717815,3,16,positive regulation of cellular extravasation,0.00524026636054881
GO:0071674,0.00246026579907806,4.08996108949416,1.83667100130039,7,107,mononuclear cell migration,0.00524855426242755
GO:0030029,0.00248125867478753,2.01672509006519,12.1185955786736,23,706,actin filament-based process,0.00524855426242755
GO:0043299,0.0025195187811627,3.07643154553325,3.45019505851756,10,201,leukocyte degranulation,0.00524855426242755
GO:0030036,0.00259650005784727,2.07995004401859,10.7110533159948,21,624,actin cytoskeleton organization,0.00524855426242755
GO:0097435,0.00273876719894907,2.03301953070114,11.4834850455137,22,669,supramolecular fiber organization,0.00524855426242755
GO:0086023,0.00283669676606869,38.4554707379135,0.0858257477243173,2,5,adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process,0.00524855426242755
GO:0048313,0.00283669676606869,38.4554707379135,0.0858257477243173,2,5,Golgi inheritance,0.00524855426242755
GO:0048308,0.00283669676606869,38.4554707379135,0.0858257477243173,2,5,organelle inheritance,0.00524855426242755
GO:0072126,0.00283669676606869,38.4554707379135,0.0858257477243173,2,5,positive regulation of glomerular mesangial cell proliferation,0.00524855426242755
GO:2000561,0.00283669676606869,38.4554707379135,0.0858257477243173,2,5,regulation of CD4-positive, alpha-beta T cell proliferation,0.00524855426242755
GO:1901724,0.00283669676606869,38.4554707379135,0.0858257477243173,2,5,positive regulation of cell proliferation involved in kidney development,0.00524855426242755
GO:0035739,0.00283669676606869,38.4554707379135,0.0858257477243173,2,5,CD4-positive, alpha-beta T cell proliferation,0.00524855426242755
GO:0006599,0.00283669676606869,38.4554707379135,0.0858257477243173,2,5,phosphagen metabolic process,0.00524855426242755
GO:0006603,0.00283669676606869,38.4554707379135,0.0858257477243173,2,5,phosphocreatine metabolic process,0.00524855426242755
