gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
RSAD2	26.8437975159788	-1.1476359296414	0.43141780194891	70.897271755394	1.46735206111277e-14	1.62384839445632e-13
FUCL5.1	4481.59159127481	-1.14801860773827	0.598017507168573	90.3839759909459	1.09127860562274e-18	1.63745284892706e-17
AGRG6.1	14.3841759256809	-1.14809082998967	0.576766599673363	135.459623482905	2.64521912906907e-28	6.81566982666703e-27
CD83.1	44.6257606514345	-1.14939578693998	0.303761385422495	29.3255610731665	6.71280739229504e-06	3.35093010890658e-05
A33.28	21.7069478126365	-1.14960676552103	0.480371925797887	113.468727054711	1.32438230100242e-23	2.6461711640786e-22
MYO15	7.28294333302877	-1.1501332759031	0.741924206703008	37.5215052442258	1.40641063334489e-07	8.43791248269051e-07
KEAP1	35.753233720775	-1.15228633944046	0.272544565528214	32.7431424347806	1.34820539699995e-06	7.27513378174936e-06
GRHL1	162.442089782414	-1.15261773178331	0.167286034782509	291.943688047117	5.92199137503687e-62	9.24857938723871e-60
AT2A3	458.480787593593	-1.15446369825074	0.13812138820284	232.428727742383	3.96026171915292e-49	3.20697384188548e-47
PR15L	95.5014824992234	-1.15899416178984	0.214096501836109	193.701697161795	8.48741601694986e-41	4.19031942385218e-39
FGFR3	47.99639192	-1.16030243518347	0.264687811061285	54.3976621948305	4.34439041076501e-11	3.67556082016355e-10
FOXR1	17.1580152877477	-1.16051878671104	0.455883820287926	47.1484828049394	1.4200942339741e-09	1.04845838161957e-08
PITC1.1	258.151973890538	-1.161618239057	0.224560383633778	59.9455185979348	2.97835133115852e-12	2.74931647306279e-11
UPK3B	966.465441110334	-1.16206260545905	0.148780742305628	194.325838837566	6.23200390618694e-41	3.11702025438533e-39
TRI25.6	56.6402099977141	-1.1622851900767	0.539519474965658	216.130935945702	1.27482579437442e-45	8.23257754552762e-44
PAR6B.1	23.1411280334611	-1.16262625169384	0.34258871844878	81.0247690435324	1.056507620555e-16	1.37148847604701e-15
NLRP3.18	63.1634488723006	-1.16690754607886	0.266221820493599	30.7034802770309	3.51874623041138e-06	1.81084099046557e-05
PRSS8	152.447422394883	-1.16785811303231	0.163307695091133	160.420611617522	1.18773058864051e-33	4.02172934936792e-32
MA7D2	13.4397588009146	-1.17388298088247	0.588280213183153	118.749154104899	9.88104602377456e-25	2.09459015780983e-23
PPM1H.2	47.1778746015289	-1.1748399735049	0.23548634520435	75.5372589461127	1.53381534784976e-15	1.83973698266775e-14
VGLL1	28.2085304514268	-1.17663323660914	0.379838086229987	106.359194926075	4.34740445426784e-22	7.9399791375381e-21
KCNK1.1	143.529756085918	-1.18116123344009	0.202122033782958	87.5510234096608	4.36091259092616e-18	6.26114138875468e-17
ILK1	37.8442703644325	-1.18222733520147	0.381338222892161	50.4298629333702	2.93658873948519e-10	2.31911716500624e-09
AVID	154.765021286236	-1.18304270325527	0.324658020303139	65.4704215907448	2.04815120737113e-13	2.04481110429322e-12
TRPM5	58.8977441291007	-1.18750056247709	0.244787366764466	266.395458626828	1.90856222818293e-56	2.33684359218718e-54
MUC2	216.114388194732	-1.18839249266013	0.298609231963034	135.73477576422	2.30983816195751e-28	5.98173825190519e-27
ATP9A	28.6105335895679	-1.18863105021671	0.300862356728387	47.2513421807926	1.3517285564931e-09	1.00039678709511e-08
MCF2L	17.9215842803836	-1.18960033058552	0.426171072303738	47.3156121788481	1.31068942176554e-09	9.71433491531308e-09
ARH37	9.54590799881647	-1.19665917357002	0.570311585674352	39.681125521189	5.03805051031075e-08	3.1915299279928e-07
CLD4	202.637350655962	-1.19932687092559	0.292378445688348	136.469019974626	1.60861257702605e-28	4.20133370160132e-27
GALT6	40.0715562717699	-1.19983617596065	0.277862966137978	150.717860854453	1.42853929097904e-31	4.34667869750183e-30
STAT2	1424.97124326244	-1.20201321439266	0.202303809953807	236.947463261396	4.2148733654667e-50	3.68620782048388e-48
ELOV7	115.570633719508	-1.20279810233625	0.222743636633672	88.7526607305044	2.42344945561587e-18	3.5459745619695e-17
GTR11	58.1936739769866	-1.20326758564041	0.265082329414906	358.046617796808	3.2099151556477e-76	8.77281276021214e-74
SCUB3.1	307.865155680061	-1.20525473478874	0.159364570457101	193.751635941164	8.28022675381219e-41	4.10125794391895e-39
F167A	22.966143414517	-1.2084824227405	0.449041506434143	86.4758990619115	7.37551072237166e-18	1.04327348988815e-16
AGRF5	10.7708432929464	-1.20921534543201	0.70636777605695	96.9767696910014	4.32778129130269e-20	7.03149603645305e-19
CAN9	762.076023028718	-1.20969569988932	0.124819442893259	362.092960977658	4.29234718841156e-77	1.21656247627109e-74
