Gene,Cluster,Assigned Tissue
FMNL2,18,LT
ALX1,18,LT
SSPN,18,LT
KAD1,19,TTJ
KS6A3,19,TTJ
CP8B1,19,TTJ
ST14,19,TTJ
TGM2.5,19,TTJ
ST14.2,19,TTJ
TMG4.1,19,TTJ
CF089,19,TTJ
POL.7,19,TTJ
F200A.3,19,TTJ
IQGA1.1,19,TTJ
F177A,19,TTJ
GALE,19,TTJ
ST1C1,19,TTJ
MOT7,19,TTJ
PLCE,19,TTJ
C356,19,TTJ
MVP,19,TTJ
SNP23,19,TTJ
GSH0,19,TTJ
OCLN.2,19,TTJ
ITPK1,19,TTJ
CRBG2,19,TTJ
TIP,19,TTJ
NEK1,19,TTJ
IEX1,19,TTJ
CHP1,19,TTJ
KLC1.2,19,TTJ
ES8L1,19,TTJ
RIN2,19,TTJ
BCAT1,19,TTJ
SERC5,19,TTJ
TMCC3,19,TTJ
CAN9,19,TTJ
RFT2.1,19,TTJ
CD276.11,19,TTJ
C99L2.1,19,TTJ
UPK3B,19,TTJ
NLRP3.21,19,TTJ
ZO2,19,TTJ
BI2L1,19,TTJ
IL17D,19,TTJ
B3GN3,19,TTJ
ADA12.2,19,TTJ
GCP60,19,TTJ
GALT3.1,19,TTJ
ESRP2,19,TTJ
CLH1.1,19,TTJ
VILI,19,TTJ
TM144.1,19,TTJ
SPRY7,19,TTJ
GAN,19,TTJ
TNF10.2,19,TTJ
TYRO3,19,TTJ
ERO1B,19,TTJ
JAM1,19,TTJ
ACK1,19,TTJ
GORS1,19,TTJ
HXK2,19,TTJ
PEPL,19,TTJ
ELF1,19,TTJ
GPCP1,19,TTJ
BAIP2.2,19,TTJ
ANXA7,19,TTJ
CAN2,19,TTJ
SDC1,19,TTJ
ICAL,19,TTJ
ARF3,19,TTJ
6PGD,19,TTJ
MICA2,19,TTJ
GLNA,19,TTJ
CHPT1,19,TTJ
TGM2.1,19,TTJ
OVOL1.1,19,TTJ
SPP24.5,19,TTJ
SERC1.1,19,TTJ
ES8L2,19,TTJ
CLD7,19,TTJ
EVPL,19,TTJ
ACER1,19,TTJ
OGDHL,19,TTJ
CLCA.1,19,TTJ
PIRT,19,TTJ
LORF2.398,19,TTJ
KCNK1.1,19,TTJ
S17A9,19,TTJ
HBEGF.1,19,TTJ
IL8.3,19,TTJ
PNPH,19,TTJ
FUT2.1,19,TTJ
IFIT5.4,19,TTJ
SRGP3.1,19,TTJ
TNR5.2,19,TTJ
HUMMR,19,TTJ
FA83B,19,TTJ
ACSL4,19,TTJ
ESRP1,19,TTJ
VATL,19,TTJ
CD63,19,TTJ
YV023,19,TTJ
CCD68,19,TTJ
IFT1B,19,TTJ
AT8B1.1,19,TTJ
HIP1R,19,TTJ
CAD17,19,TTJ
NEUL1,19,TTJ
AQP3,19,TTJ
ACTB.1,19,TTJ
ESYT3,19,TTJ
AP2A.1,19,TTJ
AKD1B,19,TTJ
ZRAN1,19,TTJ
CK052,19,TTJ
ELOV6,19,TTJ
KLF4.1,19,TTJ
GRN.1,19,TTJ
ANKK1,19,TTJ
ZN208.1,19,TTJ
CANT1,19,TTJ
GRN,19,TTJ
ADCY2.1,19,TTJ
UPAR.1,19,TTJ
HEXB,19,TTJ
LORF2.21,19,TTJ
S14L2,19,TTJ
DUS5,19,TTJ
PRSS8,19,TTJ
2A5E,19,TTJ
GLCM,19,TTJ
ARAF,19,TTJ
CXB4,19,TTJ
NPDC1,19,TTJ
TLC3B,19,TTJ
ZZEF1,19,TTJ
TSN36,19,TTJ
TPM4,19,TTJ
LORF2.220,19,TTJ
TNIP1.1,19,TTJ
G6PD,19,TTJ
GMDS,19,TTJ
MSLNL,19,TTJ
FUCT1,19,TTJ
ZBT7B,19,TTJ
GLSK.1,19,TTJ
AVID,19,TTJ
CYH1,19,TTJ
AP1G1.2,19,TTJ
KAT3,19,TTJ
RASEF.1,19,TTJ
LYPA2,19,TTJ
CHMP3,19,TTJ
CPNS1,19,TTJ
SAM9L.1,19,TTJ
RIN1,19,TTJ
LORF2.195,19,TTJ
LRBA,19,TTJ
TXTPB,19,TTJ
IFFO2,19,TTJ
OVOL2,19,TTJ
PE2R4.2,19,TTJ
CP4FN,19,TTJ
NTAN1,19,TTJ
TM1L2.1,19,TTJ
LAMP3,19,TTJ
AL1A3,19,TTJ
ANKK1.2,19,TTJ
JUN.2,19,TTJ
ADAP2,19,TTJ
FRRS1.1,19,TTJ
CEBPB,19,TTJ
CAPS2,19,TTJ
FOXQ1,19,TTJ
RHOB,19,TTJ
MICU1,19,TTJ
MUC18.2,19,TTJ
TRI11,19,TTJ
MFSD1,19,TTJ
MUC16.2,19,TTJ
MUC16.3,19,TTJ
CASC4,19,TTJ
GSTO1,19,TTJ
TM131,19,TTJ
TTC13,19,TTJ
NF2L2,19,TTJ
NCF1,19,TTJ
AP2A,19,TTJ
SPTC2,19,TTJ
CAP1,19,TTJ
ELOV7,19,TTJ
CEAM6,19,TTJ
B4GT2,19,TTJ
MUC15,19,TTJ
T53I1,19,TTJ
COF2,20,TTJ
OTC,20,TTJ
GRHL3,20,TTJ
ITPI2,20,TTJ
IKZF2,20,TTJ
FXL16,20,TTJ
GLT12,20,TTJ
BT1A1.1,20,TTJ
EPN4,20,TTJ
SPT20,20,TTJ
MCF2L,20,TTJ
PTPS,20,TTJ
COX42,20,TTJ
CY561,20,TTJ
MF13A,20,TTJ
ALDR,20,TTJ
MUC16.1,20,TTJ
AGRE2,20,TTJ
K1C5,20,TTJ
S35B3,20,TTJ
ACOX2,20,TTJ
MPZL3,20,TTJ
IF4E3,20,TTJ
PEG3,20,TTJ
CHP3,20,TTJ
AT2C1,20,TTJ
S43A3.2,20,TTJ
YM012.2,20,TTJ
KMT2D.2,20,TTJ
THIO.1,20,TTJ
GPC6,20,TTJ
CDC42.1,20,TTJ
CXAR,20,TTJ
HA19.1,20,TTJ
TDR15.1,20,TTJ
GALT2,20,TTJ
KMT2D.4,20,TTJ
BSL1.1,20,TTJ
GMPBB,20,TTJ
AGRG2,20,TTJ
CALR.1,20,TTJ
SRMS,20,TTJ
AHNK.10,20,TTJ
VTC1A,20,TTJ
HA19,20,TTJ
ANXA4,20,TTJ
LITAF.1,20,TTJ
IST1,20,TTJ
RCOR1,20,TTJ
RBM7,20,TTJ
OAS3,20,TTJ
NALP5,20,TTJ
NIBA2,20,TTJ
ALDH2,20,TTJ
CDS1,20,TTJ
PIR,20,TTJ
EIF1B.1,20,TTJ
ST17B,20,TTJ
M1IP1,20,TTJ
HEBP1,20,TTJ
ACT2,20,TTJ
K0232.1,20,TTJ
SMAP2,20,TTJ
RPGP2,20,TTJ
DCE2,20,TTJ
GLPK5,20,TTJ
CPAS1.1,20,TTJ
CHAC2,20,TTJ
RBM43,20,TTJ
PML.3,20,TTJ
HACE1,20,TTJ
MUC4,20,TTJ
ECHD2,20,TTJ
LMBRL,20,TTJ
GCSH,20,TTJ
F111A,20,TTJ
SC23B,20,TTJ
UAP1,20,TTJ
NLRP3.9,20,TTJ
IDHC,20,TTJ
MYO6,20,TTJ
NECP2,20,TTJ
PACN3.1,21,ET
PXDC1,21,ET
SYDE2.1,21,ET
AMPN.3,21,ET
LMAN1,21,ET
PXDN.1,21,ET
CSPG4.1,21,ET
UGDH,21,ET
RELN,21,ET
CO6A1,21,ET
RTN4R,21,ET
FGD4,21,ET
TPBG,21,ET
BIN1,21,ET
SOL1,21,ET
WAP,21,ET
NDNF.3,21,ET
LEPR,21,ET
PCD16,21,ET
EFMT3,21,ET
SYBU,21,ET
SIX2,21,ET
INF2,21,ET
PRDM8.1,21,ET
EFNA5.1,21,ET
SOSD1,21,ET
CO1A2.3,21,ET
CO1A2.4,21,ET
ZEB2,21,ET
LRC17,21,ET
RIN3,21,ET
TSP1,21,ET
RSU1,21,ET
CHST3,21,ET
GLT15,21,ET
DYHC1.1,21,ET
CLC10,21,ET
COLA1,21,ET
F180A.1,21,ET
GSDME,21,ET
RUNX3,21,ET
QPCT,21,ET
F180A,21,ET
GPC5.1,21,ET
SCAR3,21,ET
CRA1B,21,ET
ATS17,21,ET
MMP2,21,ET
SGCD,21,ET
SC24D,21,ET
ACKR3,21,ET
CRLD2,21,ET
E41L3,21,ET
E41L3.1,21,ET
PRS35,21,ET
SPD2B,21,ET
GOLI4,21,ET
CO1A1,21,ET
ARHGP,21,ET
YLAT1,21,ET
PLD1,21,ET
CAD11,21,ET
CD276.2,21,ET
IF4G2,21,ET
SERPH,21,ET
ANTR1,21,ET
VSTM4,21,ET
GPR54.1,21,ET
TM119,21,ET
SURF4,21,ET
DOCK5,21,ET
MYO10.1,21,ET
RASM,21,ET
TEFF2,21,ET
PGS2,21,ET
CO4A1,21,ET
TTLL7,21,ET
PCD10.5,21,ET
PIEZ2.1,21,ET
ANTR1.1,21,ET
KCTD3,21,ET
5NTC,21,ET
SIA7F,21,ET
CCD80,21,ET
PEBB,21,ET
HS3SB.1,21,ET
CASL,21,ET
FAK1,21,ET
PCSK5.1,21,ET
MXRA8,21,ET
IRX5,21,ET
IDH3G,21,ET
P4HA1,21,ET
ANKF1.1,21,ET
ROBO2,21,ET
ZNT4,21,ET
TSK,21,ET
ILK,21,ET
AA1R,21,ET
COAA1.1,21,ET
SRC8,21,ET
ASIP,21,ET
LYOX,21,ET
5NTD,21,ET
SIAE,21,ET
C1QT1.2,21,ET
KI26B,21,ET
CO6A3.6,21,ET
VIGLN.1,21,ET
RCN1,21,ET
PLEC.3,21,ET
ATS1,21,ET
GL8D2,21,ET
SH2D5,21,ET
NLRX1.3,21,ET
AUGN,21,ET
TENA.3,21,ET
CPXM2.1,21,ET
HIPL1,21,ET
TNAP2,21,ET
CO6A2,21,ET
TET5C,21,ET
S39AD,21,ET
F151A,21,ET
TENS,21,ET
RUSC2,21,ET
CP26B,21,ET
PCD10.3,21,ET
MB212,21,ET
SEM7A,21,ET
ADA12.1,21,ET
SMOX,21,ET
DDR2.2,21,ET
ACTZ,21,ET
PLA2R,21,ET
WNT5B,21,ET
P3H1,21,ET
KCNJ8.1,21,ET
KAZD1,21,ET
GLRK,21,ET
CO8A2,21,ET
MMP23,21,ET
MCAT.2,21,ET
SRPX2,21,ET
NUCB2.1,21,ET
CO6A3.7,21,ET
PLXA3,21,ET
DSPP,21,ET
RAB3I.1,21,ET
LARGN,21,ET
MAMC2,21,ET
NETR,21,ET
BMP5,21,ET
BMPER,21,ET
SPRC.1,21,ET
OFD1,21,ET
LORF2.135,22,LT
RARG,22,LT
ITB3,22,LT
F111A.2,22,LT
PPGB,22,LT
MMP14,22,LT
MMP20,22,LT
ENP1,22,LT
DCBD1,22,LT
BPI.1,22,LT
MP2K1,22,LT
ABCA1,22,LT
MOT1,22,LT
MAP7.1,22,LT
MYLIP,22,LT
SPP24,22,LT
MYC1,22,LT
NLS1,22,LT
RHG10,22,LT
SNX31,22,LT
CANX,22,LT
RHG15,22,LT
ARGAL,22,LT
HEP2,22,LT
FLOT2,22,LT
A33.21,22,LT
RBGP1,22,LT
PINLY.1,22,LT
UPAR.2,22,LT
ACSF2,22,LT
GRDN.1,22,LT
MA7D2,22,LT
CBPD,22,LT
APOEB,22,LT
ADAM8,22,LT
LYRIC.1,22,LT
CEBPA,22,LT
C43BP,22,LT
MMP13,22,LT
BMP3,22,LT
BDH.1,22,LT
RGCC.1,22,LT
RFIP5,22,LT
MUC2L,22,LT
FADS2,22,LT
SPIR1,22,LT
DEGS2.1,22,LT
OTX5,22,LT
DNSL3,22,LT
UROL1,22,LT
PLCD,22,LT
DAF2.1,22,LT
STYK1.1,22,LT
GLT17,22,LT
UBP3,22,LT
TNR11,22,LT
PLEK2,22,LT
STXB2,22,LT
CHS1,22,LT
SCUB2,22,LT
UBP31,22,LT
DPTOR,22,LT
TRI25.6,22,LT
BCAR3.1,22,LT
TCO1.1,22,LT
TRAK1,22,LT
GELS,22,LT
FBH1,22,LT
MROH1.2,22,LT
MOB1B,22,LT
CSPG5,22,LT
LRP8,22,LT
GPHA2,22,LT
MAP1B,22,LT
IRX4,22,LT
ARL4C,22,LT
CD9,22,LT
S6A11,22,LT
AKP13,22,LT
USO1,22,LT
COAA1,22,LT
LOX5.2,22,LT
HEBP2.2,22,LT
ASAP2,22,LT
SEPP1,22,LT
TBB3.1,22,LT
IRX6,22,LT
ST17A,22,LT
CTL2,22,LT
GGH.1,22,LT
SHOT1,22,LT
AT132,22,LT
RLGPB,22,LT
ARHG7,22,LT
GPSM1,22,LT
DC1L2,22,LT
CASPE,22,LT
EMAL3,22,LT
CLD4,22,LT
JIP4,22,LT
PA2GX,22,LT
RB39B.1,22,LT
MAP1B.2,22,LT
TPP2.1,22,LT
LRAT,22,LT
TENS4,22,LT
ZN239.40,22,LT
FAS,22,LT
MBNL1,22,LT
BARX2,22,LT
SNX7,22,LT
SEM6D,22,LT
FXL22,22,LT
ASPN,22,LT
PDE4D,22,LT
TT39A.1,22,LT
LYG,22,LT
CEMIP,22,LT
MUC16,22,LT
PCP,22,LT
FUT9,22,LT
BMP7.1,22,LT
TBD2A,22,LT
MMP12,22,LT
SNX30,22,LT
SPP24.2,22,LT
SPP24.3,22,LT
LASP1,22,LT
MTDC,22,LT
ADAP1,22,LT
RFLB,22,LT
MMP3,22,LT
ITAV,22,LT
KLF8,22,LT
UPAR.3,22,LT
EMAL1.1,22,LT
DNER,22,LT
TM165,23,LT
ITPR2.1,23,LT
ARF6,23,LT
HIG1A,23,LT
AAK1.1,23,LT
MYOF.1,23,LT
BTD,23,LT
MDH,23,LT
ARHGJ,23,LT
F162B,23,LT
BNIP2,23,LT
EMX2,23,LT
AHNK.8,23,LT
RAC1.1,23,LT
SYTL5,23,LT
ELOV1,23,LT
PTN12,23,LT
CYTB.2,23,LT
SYT1.2,23,LT
NOS2,23,LT
S39AE,23,LT
TLCD1,23,LT
KIFC3,23,LT
EDSP,23,LT
GATM,23,LT
KCRB,23,LT
MK01,23,LT
ILK1,23,LT
CERS2,23,LT
ANXA4.1,23,LT
SBP2L,23,LT
CEAM5,23,LT
CPNE3,23,LT
TM9S2,23,LT
CAH4.1,23,LT
AT2L1,23,LT
T22D1,23,LT
AHNK.3,23,LT
PAWR,23,LT
PDLI2,23,LT
TSN1,23,LT
CSDC2,23,LT
NCALD,23,LT
LDLR1,23,LT
RAB7B,23,LT
PKP1,23,LT
RAI3,23,LT
STX11,23,LT
FAK2,23,LT
HTAI2,23,LT
DESP,23,LT
ING4,23,LT
OSTF1,23,LT
RN208,23,LT
MK12.1,23,LT
SGPP2,23,LT
K118B,23,LT
NIPA2.1,23,LT
GP160,23,LT
MAST4,23,LT
RAB6A,23,LT
RND2,23,LT
CYC,23,LT
AHNK.7,23,LT
AMPB,23,LT
LIAT1,23,LT
F166B,23,LT
SHRM2,23,LT
IL5RA,23,LT
NBEL1,23,LT
NKX23,23,LT
TRAF4,23,LT
AP1M1.1,23,LT
LFG3,23,LT
STK10,23,LT
PPM1D,23,LT
UPAR.4,23,LT
SYAC,23,LT
KALRN.1,23,LT
KINH,23,LT
TM9S3,23,LT
DOCK8,23,LT
PJVK,23,LT
GRB14,23,LT
RELL1,23,LT
RRAS2.1,23,LT
ALAT2.1,23,LT
CY24B.1,23,LT
B3GT5.1,23,LT
LPP60,23,LT
KEAP1,23,LT
AGRG6,23,LT
GNPAT,23,LT
KCRU,23,LT
DGAT1,23,LT
LEG9,23,LT
DSC3,23,LT
CPT1A,23,LT
K2C8,23,LT
TRI36,23,LT
MLP,23,LT
MPRAB,23,LT
CASP6,23,LT
AL2CL,23,LT
MCU,23,LT
TRI66,23,LT
SPTC3,24,BHTB
NEDD4,24,BHTB
FR1L4,24,BHTB
S2543,24,BHTB
PLLP,24,BHTB
ADAS,24,BHTB
RHCG,24,BHTB
FRK,24,BHTB
RB27A,24,BHTB
SIM29,24,BHTB
GRB7,24,BHTB
YM012.1,24,BHTB
STAP1,24,BHTB
ICA1L,24,BHTB
DGKE,24,BHTB
AP1S1,24,BHTB
SYNE2,24,BHTB
RNF38.1,24,BHTB
FUCO,24,BHTB
FUCO2,24,BHTB
DBNL,24,BHTB
TRIM7,24,BHTB
SORL,24,BHTB
CGL,24,BHTB
AP1M1,24,BHTB
RXRBA,24,BHTB
R144B,24,BHTB
LPAR5.1,24,BHTB
PGDH.2,24,BHTB
LIPB2,24,BHTB
SNG2,24,BHTB
PLCB3,24,BHTB
METL4,24,BHTB
HEXD.1,24,BHTB
ABHEB,24,BHTB
NLRP3.10,24,BHTB
RHG01,24,BHTB
IMPA3.1,24,BHTB
CHIA,24,BHTB
MACC1,24,BHTB
POL3.25,24,BHTB
PITC1.1,24,BHTB
SPIR2,24,BHTB
CD2AP,24,BHTB
CSAD,24,BHTB
G6PT2,24,BHTB
GOLM1,24,BHTB
VMA5A,24,BHTB
GCNT3.2,24,BHTB
ABCA3,24,BHTB
RAB7A.1,24,BHTB
PPM1H.2,24,BHTB
BIN3,24,BHTB
NLRP3.18,24,BHTB
GALT4,24,BHTB
ATP9A,24,BHTB
SIR2,24,BHTB
CPEB3,24,BHTB
ERBB4.1,24,BHTB
VTCN1,24,BHTB
PCKGM,24,BHTB
A33.2,24,BHTB
S12A8,24,BHTB
KPCD1,24,BHTB
BSPRY,24,BHTB
PTPRH,24,BHTB
GOLP3.1,24,BHTB
WDR11,24,BHTB
NADK,24,BHTB
S35A2,24,BHTB
A33.39,24,BHTB
F16P1,24,BHTB
DAA1A,24,BHTB
FGF13,24,BHTB
PK3CG.3,24,BHTB
SPIT1,24,BHTB
ACBG2,24,BHTB
PDCD4.2,24,BHTB
S15A1,24,BHTB
ICAL.1,24,BHTB
LPAR3,24,BHTB
CXB4.1,24,BHTB
CMTR2,24,BHTB
P2RX2,24,BHTB
MADD,24,BHTB
FBN2,24,BHTB
BCAS3,24,BHTB
KCNK1,24,BHTB
NUAK2,24,BHTB
LRRF2.3,24,BHTB
COQ8A.1,24,BHTB
LRP10,24,BHTB
TEAD3,24,BHTB
PTSS2,24,BHTB
OTOAN,24,BHTB
EPGN,24,BHTB
PHR4B,24,BHTB
GLSK.2,24,BHTB
CHM4B,24,BHTB
CRTC3,24,BHTB
NRAM1,24,BHTB
BT2A1.1,24,BHTB
SC5A8.2,24,BHTB
AT2A3,24,BHTB
UPAR,24,BHTB
MF6LB,24,BHTB
MPEG1,24,BHTB
CDO1,24,BHTB
PP1A,24,BHTB
OTX1B,24,BHTB
GA2L2.1,24,BHTB
DAPP1,24,BHTB
MRCKA,24,BHTB
HID1,24,BHTB
CDAC1,24,BHTB
SAMH1.1,24,BHTB
SUSD6,24,BHTB
KCD14,24,BHTB
MBP,24,BHTB
NIBA1.1,24,BHTB
RAB1A,24,BHTB
SC24C,24,BHTB
DIAP3,24,BHTB
KLF3,24,BHTB
K1671,24,BHTB
NBEL2,24,BHTB
SLF2,24,BHTB
AGRF5.6,24,BHTB
YM012.3,24,BHTB
GIPC1,24,BHTB
AGRIN,24,BHTB
GGT1,24,BHTB
MUC16.4,24,BHTB
BROX.1,24,BHTB
PLXA4,24,BHTB
PGTA,24,BHTB
FCL,24,BHTB
PRSR2,24,BHTB
EDN1,24,BHTB
TT39A,24,BHTB
ABCG2,24,BHTB
FYCO1.1,24,BHTB
GRM2A,24,BHTB
ZN112.23,25,BHTB
ESYT1,25,BHTB
STAT1,25,BHTB
PRAF1,25,BHTB
PDE2A,25,BHTB
VLDLR.1,25,BHTB
AHNK,25,BHTB
AHNK.1,25,BHTB
S66A3,25,BHTB
FA83C,25,BHTB
NPL,25,BHTB
TAF11,25,BHTB
STK40,25,BHTB
NAL12.4,25,BHTB
NAL12.6,25,BHTB
DSG2,25,BHTB
FGFR2,25,BHTB
CRUM3,25,BHTB
DDX6,25,BHTB
CENPF.1,25,BHTB
ASM,25,BHTB
ARAP2,25,BHTB
ACD10,25,BHTB
S27A2,25,BHTB
S45A3,25,BHTB
TFR1,25,BHTB
CD83.1,25,BHTB
AAAD,25,BHTB
SYTL1,25,BHTB
PLEC.4,25,BHTB
TBCD1,25,BHTB
FGFR3,25,BHTB
RDH12.1,25,BHTB
SIM14,25,BHTB
DSEL,25,BHTB
ECE1,25,BHTB
PAR12,25,BHTB
GOGA2,25,BHTB
MK14B,25,BHTB
SMAD3,25,BHTB
MFA3L.1,25,BHTB
F91A1,25,BHTB
ZN214.28,25,BHTB
LORF2.315,25,BHTB
NR3L1.3,25,BHTB
HEYL,25,BHTB
TGFR2.1,25,BHTB
ENPP4,25,BHTB
GGT5,25,BHTB
TRCG1,25,BHTB
CADM4,25,BHTB
PAR10,25,BHTB
SVIL,25,BHTB
