Gene,Cluster,Assigned Tissue
UPAR.5,5,BHTB
RAB3I,5,BHTB
ST6B1,5,BHTB
KALRN,5,BHTB
SYTL2,5,BHTB
RGS5.1,5,BHTB
NIPS2,5,BHTB
NEC2,5,BHTB
CLCKB,5,BHTB
CRP,5,BHTB
ARRD1,5,BHTB
S2533,5,BHTB
CAPZB,5,BHTB
PSB2,5,BHTB
HYAL.2,5,BHTB
DDC,5,BHTB
ACHA9,5,BHTB
STIM2,5,BHTB
ESPN.1,5,BHTB
SYNJ2,5,BHTB
CDHR3.1,5,BHTB
AL7A1,5,BHTB
CLIP2.2,5,BHTB
RGS21,5,BHTB
LITD1.10,5,BHTB
MEAK7,5,BHTB
A33,5,BHTB
ELOA1,5,BHTB
TEDM1,5,BHTB
TSTD1,5,BHTB
MTSS1,5,BHTB
ITPR3,5,BHTB
PPCE,5,BHTB
ILEU,5,BHTB
TPH,5,BHTB
GSTT1.1,5,BHTB
LOX5.1,5,BHTB
AARD,5,BHTB
GBB3,5,BHTB
VWA7,5,BHTB
DNJB1,5,BHTB
LECA,5,BHTB
PI51B,5,BHTB
HES4B,5,BHTB
MB214,5,BHTB
LGUL,5,BHTB
MEIS1,5,BHTB
MEIS2.1,5,BHTB
DIRA2,5,BHTB
CIRBP.4,5,BHTB
K0513,5,BHTB
AVIL,5,BHTB
PSA1,5,BHTB
HERC6,5,BHTB
BTK,5,BHTB
GSAP,5,BHTB
CK053,5,BHTB
HA2D,5,BHTB
RGS3,5,BHTB
ACOT4,5,BHTB
FA83G,5,BHTB
SODC,5,BHTB
FUCM,5,BHTB
UROM.2,5,BHTB
PGDH.1,5,BHTB
PFKAP,5,BHTB
GSH1,5,BHTB
BIVM,6,ET
AGRA3.1,6,ET
S6A20.1,6,ET
SULF1,6,ET
FOXD2,6,ET
ROA2,6,ET
DSA2B.1,6,ET
BNIP3.1,6,ET
VWA2,6,ET
WN10A,6,ET
EPHA7,6,ET
EFCC1,6,ET
VWC2L,6,ET
RTJK.7,6,ET
HAUS4,6,ET
MEX3B,6,ET
ARHG2,6,ET
VASH1,6,ET
SIAT1,6,ET
R3HC1,6,ET
UD2A1,6,ET
S4A11,6,ET
SRTD4,6,ET
STRA6,6,ET
LOX5.3,6,ET
AL1A2,6,ET
CAN5,6,ET
TBX18,6,ET
SNAI2,6,ET
NDNF.2,6,ET
GP161,6,ET
LRC4B,6,ET
CPED1,6,ET
DMBT1.1,6,ET
FGFR1,6,ET
NICN1,6,ET
TM145,6,ET
AGRE1.5,6,ET
GLCNE,6,ET
THSD1,6,ET
PAQR3,6,ET
TSN33,6,ET
CBY1,6,ET
GDIR2,6,ET
SOX4,6,ET
FARP1,6,ET
FCF1,6,ET
T150A,6,ET
PLAT3.1,6,ET
ANF1,6,ET
CO7A1,6,ET
TSP4,6,ET
SYTL4,6,ET
WNT3,6,ET
SEM4C,6,ET
SARDH,6,ET
DREB,6,ET
TBB4B.5,6,ET
NFIL3,6,ET
NPNT,6,ET
ARI5B.3,6,ET
CIRBP.2,6,ET
FGF10,6,ET
